nombre,tipo,importancia,contenido
1,3,1,"Relacion.DiasMax = 1"
2,3,1,"Relacion.HorasMax = 6"
3,1,1,"asignatura.nombre in profesor.aptitudes"
4,1,1,"asignatura.nombre in estudiante.clases"
5,1,1,"repetitions2( estudiante , hora ) < 2"
6,1,1,"repetitions3( profesor , estudiante , hora ) < 2"
7,1,1,"repetitions3( asignatura , estudiante , hora ) < 2"
8,1,1,"repetitions3( aula , estudiante , hora ) < 2"
9,1,1,"repetitions2( asignatura , estudiante ) <= asignatura.numClases"
10,2,1,"asignatura.numClases - repetitions2( asignatura , estudiante )"
